Date/Time,Z1:Zone Air Temperature [C](Hourly),Z2:Zone Air Temperature [C](Hourly),Z3:Zone Air Temperature [C](Hourly),Z4:Zone Air Temperature [C](Hourly),Z1 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z2 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z3 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z4 RADIATOR:Baseboard Total Heating Rate [W](Hourly),HEAT PUMP:Heat Pump Load Side Heat Transfer Rate [W](Hourly),HEAT PUMP:Heat Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Electricity Rate [W](Hourly) 
 06/15  21:00:00,23.24426143737552,23.244261273745693,23.244261484015233,23.2442613203854,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  22:00:00,22.816932184368444,22.816932108377905,22.81693220590175,22.81693212991121,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  23:00:00,22.354772427565987,22.354772392157347,22.354772437596377,22.35477240218774,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  24:00:00,21.881614500459804,21.881614483947796,21.88161450513713,21.881614488625118,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/15  01:00:00,20.999791225054892,20.999791225054892,20.999791225054892,20.999791225054892,444.30825678888027,444.30825678888027,444.30825678888027,444.30825678888027,1679.6834186496612,479.90954818561755,108.37243116944427 
 01/15  02:00:00,20.999571831807962,20.999571831807962,20.999571831807962,20.999571831807962,444.15474114124606,444.15474114124606,444.15474114124606,444.15474114124606,1679.1544887512532,479.75842535750087,108.37243244855696 
 01/15  03:00:00,21.00022864048485,21.00022864048485,21.00022864048485,21.00022864048485,444.45821969685807,444.45821969685807,444.45821969685807,444.45821969685807,1680.2420081175558,480.0691451764444,108.3724298186133 
 01/15  04:00:00,20.99979538115379,20.99979538115379,20.99979538115379,20.99979538115379,444.30639846175205,444.30639846175205,444.30639846175205,444.30639846175205,1679.676500397513,479.9075715421466,108.37243118617451 
 01/15  05:00:00,20.99999727833341,20.99999727833341,20.99999727833341,20.99999727833341,444.305292948528,444.305292948528,444.305292948528,444.305292948528,1679.715326704233,479.918664772638,108.37243109228187 
 01/15  06:00:00,21.000079088485293,21.000079088485293,21.000079088485293,21.000079088485293,444.4601768467529,444.4601768467529,444.4601768467529,444.4601768467529,1680.2069742958633,480.05913551310385,108.37242990333465 
 01/15  07:00:00,20.999635209296883,20.999635209296883,20.999635209296883,20.999635209296883,444.15397241662953,444.15397241662953,444.15397241662953,444.15397241662953,1679.1512821476076,479.7575091850307,108.3724324563114 
 01/15  08:00:00,21.00027629667136,21.00027629667136,21.00027629667136,21.00027629667136,444.457557655959,444.457557655959,444.457557655959,444.457557655959,1680.2393425928972,480.0683835979707,108.37242982505927 
 01/15  09:00:00,20.999833548285032,20.999833548285032,20.999833548285032,20.999833548285032,444.3058769533051,444.3058769533051,444.3058769533051,444.3058769533051,1679.6744058483898,479.90697309953987,108.3724311912397 
 01/15  10:00:00,21.000029493063266,21.000029493063266,21.000029493063266,21.000029493063266,444.3048537440293,444.3048537440293,444.3048537440293,444.3048537440293,1679.713565100685,479.91816145733856,108.3724310965419 
 01/15  11:00:00,21.000107044436028,21.000107044436028,21.000107044436028,21.000107044436028,444.45979911770917,444.45979911770917,444.45979911770917,444.45979911770917,1680.2054591605877,480.0587026173107,108.37242990699868 
 01/15  12:00:00,20.99965958684831,20.99965958684831,20.99965958684831,20.99965958684831,444.1536419374517,444.1536419374517,444.1536419374517,444.1536419374517,1679.1499572682592,479.75713064807405,108.37243245951532 
