Date/Time,Z1:Zone Air Temperature [C](Hourly),Z2:Zone Air Temperature [C](Hourly),Z3:Zone Air Temperature [C](Hourly),Z4:Zone Air Temperature [C](Hourly),Z1 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z2 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z3 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z4 RADIATOR:Baseboard Total Heating Rate [W](Hourly),HEAT PUMP:Heat Pump Load Side Heat Transfer Rate [W](Hourly),HEAT PUMP:Heat Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Electricity Rate [W](Hourly) 
 06/15  14:00:00,22.97044253346843,22.970442420550455,22.965880538446626,22.965880425534237,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  15:00:00,23.457010833396893,23.45701057436407,23.45545854154558,23.45545828251373,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  16:00:00,23.809330598109653,23.809330213266396,23.80880138096883,23.808800996125676,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  17:00:00,23.988295242077662,23.98829477533124,23.98811300622145,23.988112539474997,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  18:00:00,24.00612404932606,24.00612355513631,24.006058287654923,24.00605779346514,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  19:00:00,23.86947770586518,23.869477258320785,23.869447572227728,23.869447124683308,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  20:00:00,23.581785006325386,23.58178468038992,23.58177090339685,23.581770577461384,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  21:00:00,23.212080857374808,23.212080693758768,23.212074273905575,23.21207411028954,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  22:00:00,22.790441686799944,22.79044161079245,22.79043861274318,22.790438536735678,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  23:00:00,22.333142682524844,22.333142647091638,22.333141249012236,22.33314121357902,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  24:00:00,21.863668081403937,21.86366806487981,21.863667412875124,21.863667396350998,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/15  01:00:00,19.97793139227302,19.97793139227302,17.99949457591258,17.99949457591258,461.4989457728808,461.4989457728808,353.4500842650786,353.4500842650786,833.6193562830674,238.17695893801925,7.114482068369222 
 01/15  02:00:00,19.98519241764728,19.98519241764728,18.0002317131622,18.0002317131622,461.3677775120295,461.3677775120295,353.4428887562717,353.4428887562717,697.4343935198485,199.2669695770996,7.114493909698687 
 01/15  03:00:00,19.971744624833242,19.971744624833242,17.9995928424658,17.9995928424658,460.02405447788146,460.02405447788146,353.3294055848016,353.3294055848016,810.5130928975468,231.5751693992991,4.249065635871003 
 01/15  04:00:00,19.973518288215082,19.973518288215082,17.99974599236908,17.99974599236908,460.77497295478236,460.77497295478236,353.38749650310604,353.38749650310604,830.4313899317581,237.2661114090737,5.6818751389639095 
 01/15  05:00:00,19.97944491411247,19.97944491411247,18.000159571514878,18.000159571514878,461.47742119880746,461.47742119880746,353.44447289787166,353.44447289787166,828.8828547133007,236.82367277522883,7.114483223259159 
 01/15  06:00:00,19.97228117256105,19.97228117256105,17.999720001979334,17.999720001979334,460.0011742141774,460.0011742141774,353.32683757998296,353.32683757998296,723.0683692051389,206.59096263003966,4.249224636422989 
 01/15  07:00:00,19.968211906680686,19.968211906680686,17.999715644673536,17.999715644673536,460.0741284957898,460.0741284957898,353.4257092540983,353.4257092540983,780.3239604554934,222.9497029872838,4.249120621447121 
 01/15  08:00:00,19.970055958196873,19.970055958196873,17.999924916668814,17.999924916668814,460.0316068390751,460.0316068390751,353.52085746136527,353.52085746136527,624.9417838961159,178.55479539889026,4.249201590747993 
 01/15  09:00:00,19.96618135080414,19.96618135080414,18.000132740106253,18.000132740106253,460.1025111301674,460.1025111301674,353.5170194275168,353.5170194275168,770.360294315331,220.1029412329517,4.249118138689593 
 01/15  10:00:00,19.961536974849356,19.961536974849356,17.999641130827996,17.999641130827996,460.18908743813324,460.18908743813324,353.4215287893605,353.4215287893605,946.5755109532129,270.45014598663226,4.248818376253515 
 01/15  11:00:00,19.970186271089943,19.970186271089943,18.00006458359726,18.00006458359726,460.82521219593684,460.82521219593684,353.57622105399753,353.57622105399753,770.7941513533046,220.22690038665849,5.68188987986461 
 01/15  12:00:00,19.97198636787003,19.97198636787003,17.99979263880535,17.99979263880535,460.79079751457664,460.79079751457664,353.5350968048648,353.5350968048648,773.8375294720591,221.09643699201686,5.6819184890610845 
 01/15  13:00:00,19.972062835492554,19.972062835492554,18.000041647885844,18.000041647885844,460.79944323022994,460.79944323022994,353.5784041140689,353.5784041140689,806.3436065140302,230.3838875754372,5.681859683846181 
 01/15  14:00:00,19.975313550817095,19.975313550817095,17.999565579667472,17.999565579667472,460.73930350234195,460.73930350234195,353.3870604523919,353.3870604523919,724.0838729805391,206.88110656586832,5.681881753283962 
 01/15  15:00:00,19.981862731983544,19.981862731983544,17.99995949012514,17.99995949012514,462.23833650671384,462.23833650671384,353.50783661651326,353.50783661651326,986.7990297235563,281.9425799210161,8.547008547008547 
 01/15  16:00:00,19.983893344378956,19.983893344378956,17.999983507758056,17.999983507758056,461.39531004019005,461.39531004019005,353.29192963686086,353.29192963686086,785.6888922370676,224.48254063916218,7.114493742475906 
 01/15  17:00:00,19.98630697510562,19.98630697510562,18.000235160358034,18.000235160358034,461.353531512274,461.353531512274,353.44681809276665,353.44681809276665,770.9121180791678,220.2606051654765,7.1144933856326205 
 01/15  18:00:00,19.978883149828647,19.978883149828647,17.999810851545927,17.999810851545927,460.70373990050956,460.70373990050956,353.2356794969278,353.2356794969278,805.3151614150048,230.0900461185728,5.681853264528865 
 01/15  19:00:00,19.970971897824995,19.970971897824995,17.999737902088153,17.999737902088153,459.22859625055185,459.22859625055185,353.2677421794617,353.2677421794617,527.2238060894633,150.63537316841808,2.8165142441445328 
 01/15  20:00:00,19.968575354408003,19.968575354408003,17.999532245755038,17.999532245755038,460.0696286602956,460.0696286602956,353.3290504569161,353.3290504569161,798.4195292768179,228.11986550766227,4.249102105925417 
 01/15  21:00:00,19.96583001228363,19.96583001228363,17.999891415717386,17.999891415717386,460.1103360693667,460.1103360693667,353.52212093662973,353.52212093662973,823.357779830268,235.24507995150512,4.249066739350693 
 01/15  22:00:00,19.977938541524132,19.977938541524132,18.000121504675203,18.000121504675203,462.3007787669518,462.3007787669518,353.5033293613478,353.5033293613478,1024.0630590878552,292.58944545367297,8.547008547008547 
 01/15  23:00:00,19.96834782027149,19.96834782027149,17.999447143292322,17.999447143292322,459.25998998444135,459.25998998444135,353.36600923882173,353.36600923882173,513.5512079196825,146.7289165484807,2.816547288974443 
 01/15  24:00:00,19.961679142062234,19.961679142062234,17.999626640044948,17.999626640044948,459.394870238909,459.394870238909,353.46243657113075,353.46243657113075,722.7999967455146,206.51428478443276,2.8160416418501524 
 06/15  01:00:00,21.38892785181483,21.388927844102618,21.388927539795656,21.388927532083446,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  02:00:00,21.023913140674523,21.02391313708199,20.928672267624346,20.928672264021614,20.174805438245905,20.174805440384823,0.0,0.0,56.9284821820392,16.26528062343977,0.7076328471983988 
 06/15  03:00:00,20.999915654244145,20.99991565269901,20.524398051417208,20.524398049732383,49.57317620135079,49.57317620410977,0.0,0.0,138.58032260981292,39.594377888517975,2.116941713308951 
 06/15  04:00:00,20.999805531995435,20.999805531317723,20.206925654830883,20.206925654054594,61.79818733896133,61.79818734046622,0.0,0.0,143.9498889178199,41.12853969080568,2.8174407253752847 
 06/15  05:00:00,21.000109309139035,21.000109348509707,19.96146316007579,19.961463194640885,70.88767162248647,70.88767158408099,0.0,0.0,135.4246879345132,38.692767981289485,2.817461338964185 
 06/15  06:00:00,20.999995809826085,20.999995987032648,19.79351234420561,19.793512514529176,74.41911252681274,74.41911222004987,0.0,0.0,142.59745765685634,40.74213075910181,2.817443995369247 
 06/15  07:00:00,21.00003194620318,21.00003226426744,19.733325458846142,19.73332577170921,70.03027131694012,70.03027072792725,0.0,0.0,142.26954696653144,40.64844199043755,2.8174447882492197 
 06/15  08:00:00,21.000145326381634,21.00014573674801,19.848054795279616,19.848055212238613,52.06224948433963,52.06224888895181,0.0,0.0,73.84143921774253,21.097554062212147,1.4161729978539683 
 06/15  09:00:00,20.99979338441768,20.99979382424063,20.188011888216252,20.18801233701476,23.433976878062992,23.433976577219916,0.0,0.0,0.0,0.0,0.007142637105437432 
 06/15  10:00:00,21.03986868628051,21.039869101036075,20.69296266173583,20.6929630809996,1.4103518529486059,1.410351834745672,0.0,0.0,0.0,0.0,0.0004298673611530986 
 06/15  11:00:00,21.359045891219075,21.359046216300577,21.24395023842407,21.24395056428107,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  12:00:00,21.86476744294776,21.864767638180226,21.82548630693955,21.825486502319542,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  13:00:00,22.419734657972832,22.419734701651024,22.40633677395547,22.40633681766246,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  14:00:00,22.97044253346843,22.970442420550455,22.965880538446626,22.965880425534237,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  15:00:00,23.457010833396893,23.45701057436407,23.45545854154558,23.45545828251373,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  16:00:00,23.809330598109653,23.809330213266396,23.80880138096883,23.808800996125676,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  17:00:00,23.988295242077662,23.98829477533124,23.98811300622145,23.988112539474997,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  18:00:00,24.00612404932606,24.00612355513631,24.006058287654923,24.00605779346514,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  19:00:00,23.86947770586518,23.869477258320785,23.869447572227728,23.869447124683308,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  20:00:00,23.581785006325386,23.58178468038992,23.58177090339685,23.581770577461384,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  21:00:00,23.212080857374808,23.212080693758768,23.212074273905575,23.21207411028954,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  22:00:00,22.790441686799944,22.79044161079245,22.79043861274318,22.790438536735678,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  23:00:00,22.333142682524844,22.333142647091638,22.333141249012236,22.33314121357902,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  24:00:00,21.863668081403937,21.86366806487981,21.863667412875124,21.863667396350998,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/15  01:00:00,19.97793139227302,19.97793139227302,17.99949457591258,17.99949457591258,461.4989457728808,461.4989457728808,353.4500842650786,353.4500842650786,833.6193562830674,238.17695893801925,7.114482068369222 
 01/15  02:00:00,19.98519241764728,19.98519241764728,18.0002317131622,18.0002317131622,461.3677775120295,461.3677775120295,353.4428887562717,353.4428887562717,697.4343935198485,199.2669695770996,7.114493909698687 
 01/15  03:00:00,19.971744624833242,19.971744624833242,17.9995928424658,17.9995928424658,460.02405447788146,460.02405447788146,353.3294055848016,353.3294055848016,810.5130928975468,231.5751693992991,4.249065635871003 
