Date/Time,Z1:Zone Air Temperature [C](Hourly),Z2:Zone Air Temperature [C](Hourly),Z3:Zone Air Temperature [C](Hourly),Z4:Zone Air Temperature [C](Hourly),Z1 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z2 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z3 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z4 RADIATOR:Baseboard Total Heating Rate [W](Hourly),HEAT PUMP:Heat Pump Load Side Heat Transfer Rate [W](Hourly),HEAT PUMP:Heat Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Fluid Heat Gain Rate [W](Hourly) 
 01/15  11:00:00,19.752764562465707,18.000131084418772,18.000131084418772,19.752764562465707,465.687412957006,344.30536569956837,344.30536569956837,465.687412957006,1615.7482612263484,461.64236035038533,4.010357411000411,4.010357411000411 
 01/15  12:00:00,19.752764562470915,18.000131084424375,18.000131084424375,19.752764562470915,465.6874129569357,344.3053656995146,344.3053656995146,465.6874129569357,1615.7482612260958,461.64236035031314,4.010357411000411,4.010357411000411 
 01/15  13:00:00,19.75276456247552,18.00013108442935,18.00013108442935,19.75276456247552,465.68741295687306,344.3053656994672,344.3053656994672,465.68741295687306,1615.7482612258764,461.6423603502504,4.010357411000411,4.010357411000411 
 01/15  14:00:00,19.752764562479612,18.00013108443376,18.00013108443376,19.752764562479612,465.687412956817,344.30536569942467,344.30536569942467,465.687412956817,1615.7482612256765,461.64236035019326,4.010357411000411,4.010357411000411 
 01/15  15:00:00,19.752764562483243,18.000131084437673,18.000131084437673,19.752764562483243,465.68741295676864,344.30536569938715,344.30536569938715,465.68741295676864,1615.7482612255078,461.64236035014517,4.010357411000412,4.010357411000412 
 01/15  16:00:00,19.752764562486465,18.00013108444115,18.00013108444115,19.752764562486465,465.68741295672396,344.30536569935384,344.30536569935384,465.68741295672396,1615.7482612253493,461.6423603500998,4.010357411000412,4.010357411000412 
 01/15  17:00:00,19.752764562489325,18.000131084444238,18.000131084444238,19.752764562489325,465.687412956685,344.3053656993243,344.3053656993243,465.687412956685,1615.7482612252124,461.64236035006064,4.010357411000412,4.010357411000412 
 01/15  18:00:00,19.752764562491862,18.00013108444698,18.00013108444698,19.752764562491862,465.68741295664984,344.30536569929814,344.30536569929814,465.68741295664984,1615.7482612250928,461.6423603500265,4.010357411000412,4.010357411000412 
 01/15  19:00:00,19.752764562494118,18.00013108444941,18.00013108444941,19.752764562494118,465.6874129566186,344.3053656992745,344.3053656992745,465.6874129566186,1615.748261224981,461.64236034999453,4.010357411000413,4.010357411000413 
 01/15  20:00:00,19.75276456249612,18.000131084451564,18.000131084451564,19.75276456249612,465.6874129565929,344.305365699254,344.305365699254,465.6874129565929,1615.7482612248868,461.6423603499677,4.010357411000413,4.010357411000413 
 01/15  21:00:00,19.752764562497898,18.000131084453486,18.000131084453486,19.752764562497898,465.68741295656815,344.3053656992358,344.3053656992358,465.68741295656815,1615.7482612247968,461.64236034994195,4.010357411000413,4.010357411000413 
 01/15  22:00:00,19.752764562499475,18.00013108445519,18.00013108445519,19.752764562499475,465.6874129565464,344.30536569921946,344.30536569921946,465.6874129565464,1615.7482612247263,461.64236034992183,4.010357411000413,4.010357411000413 
 01/15  23:00:00,19.75276456250088,18.000131084456704,18.000131084456704,19.75276456250088,465.6874129565274,344.305365699205,344.305365699205,465.6874129565274,1615.7482612246597,461.6423603499028,4.010357411000413,4.010357411000413 
 01/15  24:00:00,19.752764562502115,18.000131084458037,18.000131084458037,19.752764562502115,465.68741295651023,344.30536569919184,344.30536569919184,465.68741295651023,1615.748261224599,461.6423603498854,4.010357411000413,4.010357411000413 
