Date/Time,Z1:Zone Air Temperature [C](Hourly),Z2:Zone Air Temperature [C](Hourly),Z3:Zone Air Temperature [C](Hourly),Z4:Zone Air Temperature [C](Hourly),Z1 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z2 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z3 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z4 RADIATOR:Baseboard Total Heating Rate [W](Hourly),HEAT PUMP:Heat Pump Load Side Heat Transfer Rate [W](Hourly),HEAT PUMP:Heat Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Fluid Heat Gain Rate [W](Hourly) 
 01/15  11:00:00,19.660116511433166,19.660116511433166,17.99970375320083,17.99970375320083,449.23150770439736,449.23150770439736,358.96387957803404,358.96387957803404,1612.138189377213,460.6109112506323,4.04146729515412,4.04146729515412 
 01/15  12:00:00,19.660116749328303,19.660116749328303,18.000092116755855,18.000092116755855,449.2314902210521,449.2314902210521,359.11552888320966,359.11552888320966,1612.4283936314787,460.6938267518511,4.041704236289769,4.041704236289769 
 01/15  13:00:00,19.660118124698666,19.660118124698666,17.999856751857493,17.999856751857493,449.2314946882497,449.2314946882497,359.11798800166554,359.11798800166554,1612.4198687069438,460.69139105912683,4.041704250745327,4.041704250745327 
 01/15  14:00:00,19.66011777327637,19.66011777327637,17.999603174724832,17.999603174724832,449.2314902869715,449.2314902869715,358.9657244891113,358.9657244891113,1612.141803382055,460.6119438234442,4.041467289025923,4.041467289025923 
 01/15  15:00:00,19.660118119514163,19.660118119514163,17.99990219113752,17.99990219113752,449.23151072875555,449.23151072875555,359.117012620621,359.117012620621,1612.41784147189,460.69081184911136,4.041704254182871,4.041704254182871 
 01/15  16:00:00,19.660116511412323,19.660116511412323,17.999703753178704,17.999703753178704,449.2315077046699,449.2315077046699,358.9638795782564,358.9638795782564,1612.138189378206,460.61091125091605,4.041467295154119,4.041467295154119 
 01/15  17:00:00,19.660116749309836,19.660116749309836,18.00009211673617,18.00009211673617,449.23149022129434,449.23149022129434,359.1155288834062,359.1155288834062,1612.4283936323654,460.69382675210437,4.041704236289768,4.041704236289768 
 01/15  18:00:00,19.660118124682317,19.660118124682317,17.99985675184006,17.99985675184006,449.2314946884653,449.2314946884653,359.11798800183965,359.11798800183965,1612.4198687077298,460.69139105935136,4.041704250745326,4.041704250745326 
 01/15  19:00:00,19.660117773261877,19.660117773261877,17.999603174709403,17.999603174709403,449.2314902871614,449.2314902871614,358.9657244892653,358.9657244892653,1612.141803382736,460.61194382363885,4.041467289025921,4.041467289025921 
 01/15  20:00:00,19.660118119501327,19.660118119501327,17.99990219112388,17.99990219112388,449.2315107289237,449.2315107289237,359.1170126207574,359.1170126207574,1612.4178414724997,460.6908118492857,4.041704254182871,4.041704254182871 
 01/15  21:00:00,19.66011651140095,19.66011651140095,17.99970375316664,17.99970375316664,449.231507704819,449.231507704819,358.9638795783775,358.9638795783775,1612.1381893787411,460.6109112510689,4.041467295154118,4.041467295154118 
 01/15  22:00:00,19.66011674929976,19.66011674929976,18.000092116725433,18.000092116725433,449.2314902214264,449.2314902214264,359.11552888351366,359.11552888351366,1612.4283936328452,460.6938267522415,4.0417042362897675,4.0417042362897675 
 01/15  23:00:00,19.660118124673385,19.660118124673385,17.999856751830546,17.999856751830546,449.23149468858117,449.23149468858117,359.1179880019348,359.1179880019348,1612.4198687081582,460.69139105947374,4.041704250745325,4.041704250745325 
 01/15  24:00:00,19.660117773253976,19.660117773253976,17.999603174700976,17.999603174700976,449.2314902872659,449.2314902872659,358.9657244893492,358.9657244893492,1612.141803383117,460.61194382374777,4.0414672890259205,4.0414672890259205 
