Date/Time,Z1:Zone Air Temperature [C](Hourly),Z2:Zone Air Temperature [C](Hourly),Z3:Zone Air Temperature [C](Hourly),Z4:Zone Air Temperature [C](Hourly),Z1 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z2 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z3 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z4 RADIATOR:Baseboard Total Heating Rate [W](Hourly),HEAT PUMP:Heat Pump Load Side Heat Transfer Rate [W](Hourly),HEAT PUMP:Heat Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Electricity Rate [W](Hourly) 
 06/15  21:00:00,23.244046777996232,23.244046614366226,23.24404682463596,23.24404666100595,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  22:00:00,22.81675371210963,22.816753636118968,22.816753733642948,22.816753657652292,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  23:00:00,22.354624192532214,22.354624157123517,22.35462420256261,22.35462416715391,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  24:00:00,21.88149140607011,21.881491389558068,21.881491410747444,21.881491394235393,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/15  01:00:00,21.000302423540507,21.000302423540507,21.000302423540507,21.000302423540507,444.3131092653874,444.3131092653874,444.3131092653874,444.3131092653874,1769.380371643572,505.5372490410207,8.547008547008547 
 01/15  02:00:00,21.000302423536205,21.000302423536205,21.000302423536205,21.000302423536205,444.3131092654446,444.3131092654446,444.3131092654446,444.3131092654446,1769.380371643801,505.53724904108606,8.547008547008547 
 01/15  03:00:00,21.00030242353242,21.00030242353242,21.00030242353242,21.00030242353242,444.31310926549816,444.31310926549816,444.31310926549816,444.31310926549816,1769.380371644024,505.53724904114966,8.547008547008547 
 01/15  04:00:00,21.000302423529092,21.000302423529092,21.000302423529092,21.000302423529092,444.3131092655412,444.3131092655412,444.3131092655412,444.3131092655412,1769.3803716442053,505.53724904120145,8.547008547008547 
 01/15  05:00:00,21.000302423526133,21.000302423526133,21.000302423526133,21.000302423526133,444.3131092655776,444.3131092655776,444.3131092655776,444.3131092655776,1769.3803716443476,505.53724904124215,8.547008547008547 
 01/15  06:00:00,21.00030242352355,21.00030242352355,21.00030242352355,21.00030242352355,444.3131092656155,444.3131092656155,444.3131092656155,444.3131092656155,1769.3803716445054,505.5372490412873,8.547008547008547 
