Date/Time,ZONE ONE:Zone Air Temperature [C](Hourly),ZONE ONE:Zone Air System Sensible Heating Energy [J](Hourly),ZONE ONE:Zone Predicted Sensible Load to Setpoint Heat Transfer Rate [W](Hourly),RADIATOR:Baseboard Total Heating Rate [W](Hourly) 
 01/15  03:00:00,21.103724235986462,7222943.617193269,1726.017951718247,2006.3732269981301 
 01/15  04:00:00,21.103724235986462,7222943.617193269,1726.017951718247,2006.3732269981301 
 01/15  05:00:00,21.103724235986462,7222943.617193269,1726.017951718247,2006.3732269981301 
 01/15  06:00:00,21.103724235986462,7222943.617193269,1726.017951718247,2006.3732269981301 
 01/15  07:00:00,21.103724235986462,7222943.617193269,1726.017951718247,2006.3732269981301 
 01/15  08:00:00,21.103724235986462,7222943.617193269,1726.017951718247,2006.3732269981301 
 01/15  09:00:00,21.103724235986462,7222943.617193269,1726.017951718247,2006.3732269981301 
 01/15  10:00:00,21.103724235986462,7222943.617193269,1726.017951718247,2006.3732269981301 
 01/15  11:00:00,21.103724235986462,7222943.617193269,1726.017951718247,2006.3732269981301 
 01/15  12:00:00,21.103724235986462,7222943.617193269,1726.017951718247,2006.3732269981301 
 01/15  13:00:00,21.103724235986462,7222943.617193269,1726.017951718247,2006.3732269981301 
 01/15  14:00:00,21.103724235986462,7222943.617193269,1726.017951718247,2006.3732269981301 
 01/15  15:00:00,21.103724235986462,7222943.617193269,1726.017951718247,2006.3732269981301 
 01/15  16:00:00,21.103724235986462,7222943.617193269,1726.017951718247,2006.3732269981301 
 01/15  17:00:00,21.103724235986462,7222943.617193269,1726.017951718247,2006.3732269981301 
 01/15  18:00:00,21.103724235986462,7222943.617193269,1726.017951718247,2006.3732269981301 
 01/15  19:00:00,21.103724235986462,7222943.617193269,1726.017951718247,2006.3732269981301 
 01/15  20:00:00,21.103724235986462,7222943.617193269,1726.017951718247,2006.3732269981301 
 01/15  21:00:00,21.103724235986462,7222943.617193269,1726.017951718247,2006.3732269981301 
 01/15  22:00:00,21.103724235986462,7222943.617193269,1726.017951718247,2006.3732269981301 
 01/15  23:00:00,21.103724235986462,7222943.617193269,1726.017951718247,2006.3732269981301 
 01/15  24:00:00,21.103724235986462,7222943.617193269,1726.017951718247,2006.3732269981301 
 06/15  01:00:00,20.999944101536908,570500.6022501719,158.51733532817343,158.47238951393666 
 06/15  02:00:00,20.999995414872444,654469.7194397994,181.82462942423808,181.79714428883318 
 06/15  03:00:00,20.999999818253286,723119.3900006262,200.87441333486822,200.86649722239616 
 06/15  04:00:00,20.9999713330714,783655.6559414983,217.69717730110642,217.68212665041622 
 06/15  05:00:00,21.000034052936677,832173.9225148982,231.10599078460746,231.15942292080507 
 06/15  06:00:00,20.999937369101524,822489.1907469091,228.47830085721216,228.46921965191916 
 06/15  07:00:00,20.99999564502514,720281.068344706,200.11317900183985,200.0780745401961 
